LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
7m24s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-jn24t                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc08e9a6100 {14014679571616784422 109669337540154 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-57dgw
7m24s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-mjfx8
7m24s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-s2pc8
7m24s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-zx8xk
7m24s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-fqcwg                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-fqcwg to ampere
7m24s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-zx8xk                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc10eeb1db0 {14014679571631467578 109669352223257 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-vw2gp                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc10eeb1db0 {14014679571631467578 109669352223257 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-vw2gp                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-vw2gp to ampere
7m24s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-vw2gp
7m24s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-57dgw                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc10eeb1db0 {14014679571631467578 109669352223257 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-57dgw                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-57dgw to ampere
7m23s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-vcp8r                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc062679560 {14014679572523478656 109670244234393 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m23s       Warning   UnexpectedAdmissionError   pod/llama-runtime-fc6f5dd9-sr265                                 Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s4-8-3g 0xc062679560 {14014679572523478656 109670244234393 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m23s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-vcp8r
7m23s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-sr265
7m23s       Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-xcndg
7m23s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-dlck9                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc107904f28 {14014679572488811860 109670209567592 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m23s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-4wcx4
7m23s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-5cdrn
