mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,input_hw,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,64,224x224,fp16,torchvision,ok,,50,45.413825,45.452705,46.560192,47.30883,1409.262488,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,64,224x224,fp16,torchvision,ok,,50,37.767791,38.110241,40.987583,43.090305,1694.565602,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,64,224x224,fp16,torchvision,ok,,50,166.986562,166.948135,167.099075,173.316345,383.264372,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,64,224x224,fp16,torchvision,ok,,50,84.291543,84.29805,84.35984,87.704323,759.269529,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,resnet50,64,224x224,fp16,torchvision,ok,,50,49.268188,49.210495,50.594303,51.222561,1299.012659,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,resnet50,64,224x224,fp16,torchvision,ok,,50,45.515529,45.590466,46.672607,48.191746,1406.113509,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,resnet50,64,224x224,fp16,torchvision,ok,,50,38.57595,39.445633,41.342239,43.158463,1659.064801,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,resnet50,64,224x224,fp16,torchvision,ok,,50,165.832909,165.724518,165.960388,168.850723,385.930635,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,resnet50,64,224x224,fp16,torchvision,ok,,50,83.138728,83.042915,83.346115,86.17411,769.797685,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,resnet50,64,224x224,fp16,torchvision,ok,,50,46.910784,46.825695,47.139008,49.602402,1364.291848,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,resnet50,64,224x224,fp16,torchvision,ok,,50,42.18255,42.039135,42.166466,48.157986,1517.215063,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,resnet50,64,224x224,fp16,torchvision,ok,,50,24.051861,23.928448,24.559937,27.399649,2660.916729,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,vgg16,1,224x224,fp16,torchvision,ok,,50,18.604836,19.065409,21.06192,23.943424,53.749466,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,vgg16,1,224x224,fp16,torchvision,ok,,50,17.671534,17.416992,20.210079,22.59824,56.588183,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,vgg16,1,224x224,fp16,torchvision,ok,,50,16.562505,16.141184,19.30064,22.615265,60.37734,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,vgg16,1,224x224,fp16,torchvision,ok,,50,16.474331,16.086945,19.269312,21.75024,60.700492,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,vgg16,1,224x224,fp16,torchvision,ok,,50,16.575429,15.83424,19.107264,25.877184,60.330263,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,vgg16,1,224x224,fp16,torchvision,ok,,50,19.132237,18.541985,21.675327,22.40064,52.267802,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,vgg16,1,224x224,fp16,torchvision,ok,,50,17.461318,16.784864,20.316992,22.423967,57.269444,0.0,0.0,,,vision-20260703-ampere-gpu1
