mig_uuid,mig_name,model,batch,seq_len,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,256,bf16,hf,5.8115,5.8045,5.9240,230.76,254.00,9428.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,1,512,bf16,hf,5.9796,5.9795,6.0840,236.39,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,16,bf16,hf,5.9626,5.9270,6.0493,225.83,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,32,bf16,hf,5.8458,5.8314,5.9390,226.53,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,64,bf16,hf,5.7837,5.7601,5.9077,227.94,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,128,bf16,hf,5.9317,5.9340,6.0338,230.76,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,256,bf16,hf,6.0436,6.0639,6.1294,236.39,254.00,9406.94,9406.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,2,512,bf16,hf,6.6669,6.6641,6.7080,247.65,274.00,9406.94,9386.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,16,bf16,hf,6.1048,6.0091,6.1924,226.53,274.00,9386.94,9386.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,bert-base-uncased,4,32,bf16,hf,5.8474,5.8433,5.9454,227.94,274.00,9386.94,9386.94
